,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6345,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.76,4.83,4.78,4.59,4.83,4.66,4.73,1.46
6346,37.97059727468813,23.73065886137696,1.0,2.0,3.0,3.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1
6347,37.9872271,23.7337552,1.0,1.0,2.0,7.3,1125.0,4.75,4.75,4.63,4.94,5.0,4.81,4.5,0.97
6348,37.9955668,23.7309984,1.0,1.0,5.0,5.9,1125.0,4.6,4.7,4.7,4.9,4.6,4.6,4.5,0.64
6349,37.98653,23.72912,1.0,2.0,2.0,7.0,1125.0,4.4,4.6,4.4,5.0,5.0,4.2,4.4,0.55
6350,37.99082,23.72833,1.0,1.0,3.0,6.3,1125.0,4.74,4.87,4.65,4.91,4.96,4.48,4.74,0.8
6351,37.9991779,23.7715042,1.0,2.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.22
6352,37.96593,23.74898,0.0,1.0,0.0,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6353,37.9805526,23.7371348,1.0,1.0,1.0,2.0,365.0,4.63,4.72,4.6,4.82,4.72,4.93,4.7,1.99
6354,37.9991779,23.7715042,1.0,2.0,2.0,1.0,1125.0,4.86,5.0,5.0,5.0,5.0,5.0,5.0,0.25
6355,37.9991779,23.7715042,1.5,2.0,2.0,1.0,1125.0,4.92,4.92,4.92,4.92,4.92,4.92,4.77,0.46
6356,37.9991779,23.7715042,1.5,2.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.16
6357,37.9991779,23.7715042,1.5,2.0,2.0,1.0,1125.0,4.25,4.75,4.75,4.5,4.75,4.5,4.5,0.15
6358,37.9991779,23.7715042,1.5,2.0,2.0,1.0,1125.0,5.0,4.75,5.0,5.0,5.0,4.75,4.75,0.73
6359,37.9991779,23.7715042,1.5,2.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,4.83,0.26
6360,37.98985520000001,23.7660486,1.0,1.0,3.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06
6361,37.99051,23.72985,1.0,1.0,4.0,9.4,1125.0,4.65,4.87,4.43,4.91,5.0,4.39,4.61,0.82
6362,37.9617271,23.7204691,1.5,1.0,1.0,3.0,1125.0,4.81,4.82,4.82,4.86,4.9,4.75,4.81,7.94
6363,37.999,23.7231,1.0,1.0,2.0,2.0,365.0,3.92,4.0,4.0,4.46,4.23,4.23,3.77,0.48
6364,37.96956,23.72494,2.5,3.0,3.0,2.0,1125.0,4.95,4.95,4.95,4.92,4.88,4.97,4.9,5.02
